지역,2020,2021,2022,2023,2024
서울,15420,15850,16200,16450,16800
부산,4150,4220,4380,4450,4520
대구,3180,3250,3350,3420,3480
인천,3850,3920,4050,4120,4180
광주,2150,2200,2280,2320,2380
대전,2280,2350,2420,2480,2520
울산,1450,1480,1520,1580,1620
세종,280,320,380,420,450
경기,12800,13200,13600,14100,14500
강원,2180,2220,2280,2350,2400
충북,2080,2120,2180,2220,2280
충남,2350,2400,2480,2520,2580
전북,2120,2180,2220,2280,2320
전남,2280,2320,2380,2420,2480
경북,3180,3220,3280,3350,3420
경남,3850,3920,4020,4080,4150
제주,850,880,920,950,980
